"Choice1_1","Choice1_2","Choice1_3","Choice1_4","Choice1_5","Choice1_6","Choice1_7","Choice1_8","Choice1_9","Choice1_10","Choice1_11","Choice1_12","Neptun","gender","mothereduc","math","socialrank_1","trust","risk","timepref_control","Patience_days","Choice2_1","Choice2_2","Choice2_3","Choice2_4","Choice2_5","Choice2_6","Choice2_7","Choice2_8","Choice2_9","Choice2_10","Choice2_11","Choice2_12","Neptun_q2","Neptun_q3","Choice3_1","Choice3_2","Choice3_3","Choice3_4","Choice3_5","Choice3_6","Choice3_7","Choice3_8","Choice3_9","Choice3_10","Choice3_11","Choice3_12","Treatment","diff1","diff2","diff3","diff4","diff5","diff6","diff7","diff8","diff9","diff10","diff11","diff12","rememb1","rememb2","rememb3","rememb4","rememb5","rememb6","rememb7","rememb8","rememb9","rememb10","rememb11","rememb12"
1,1,1,1,1,1,1,1,1,1,1,1,"FI8404","Male","BSC",3,7,2,4,4,"10",1,1,1,1,1,1,1,1,1,2,2,2,"FI8404","FI8404",1,1,1,1,1,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2,2,2,2,"YA8237","Male","MA",5,10,3,2,4,"150",1,1,1,2,2,2,2,2,2,2,2,2,"YA8237","YA8237",1,1,1,2,2,2,2,2,2,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,2,2,2,2,2,2,"K0Q539","Female","High School Graduation",2,7,3,3,4,"5 hét",1,1,1,1,1,1,1,1,1,1,1,1,"K0Q539","K0Q539",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,2,2,2,2,2,2,2,2,2,2,2,"QHE690","Male","MA",5,8,3,2,4,"60",1,2,2,2,2,2,2,2,2,2,2,2,"QHE690","QHE690",1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,2,"GYY448","Male","MA",3,6,2,3,2,"31",1,1,1,1,1,1,1,1,1,1,1,1,"GYY448","GYY448",1,1,1,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
2,2,2,1,1,1,1,1,2,2,2,2,"MQV035","Female","BSC",3,7,2,3,4,"20",1,1,1,1,2,2,2,2,2,2,2,2,"MQV035","MQV035",2,1,1,1,1,1,1,2,2,2,2,2,0,1,1,1,0,-1,-1,-1,-1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,2,2,2,2,2,2,"MAM733","Female","High School Graduation",5,6,3,3,3,"30",1,1,1,1,2,2,2,2,2,2,2,2,"MAM733","MAM733",1,1,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,-1,-1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2,2,2,2,"JIS573","Male","BSC",5,4,3,5,5,"365",1,2,2,2,2,2,2,2,2,2,2,2,"JIS573","JIS573",1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,2,2,2,2,"APJ974","Male","Vocational School",5,7,2,3,4,"31",1,1,1,1,1,2,2,2,2,2,2,2,"APJ974","APJ974",1,1,1,1,2,2,2,2,2,2,2,2,1,0,0,0,0,0,-1,-1,-1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
2,2,2,2,2,2,1,2,2,2,2,2,"HPZ778","Male","BSC",4,7,2,4,5,"100",2,2,2,2,2,2,2,2,2,2,2,2,"HPZ778","HPZ778",2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,2,2,2,2,2,2,"RQH301","Male","BSC",5,6,2,3,3,"30",1,1,1,1,1,1,1,1,2,2,2,2,"RQH301","RQH301",1,1,1,1,1,1,1,2,2,2,2,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,2,2,2,"CDR874","Male","High School Graduation",5,6,2,3,3,"20",1,1,1,1,1,1,1,1,1,2,2,2,"CDR874","CDR874",1,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,2,2,2,2,2,2,2,"VVQ115","Male","BSC",5,8,3,3,5,"300",1,1,1,1,1,1,2,2,2,2,2,2,"VVQ115","VVQ115",1,1,1,1,1,1,2,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,2,2,"BAZ017","Female","MA",5,8,3,2,4,"45",1,1,1,1,1,1,1,1,1,2,2,2,"BAZ017","BAZ017",1,1,1,1,1,1,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
1,2,1,1,1,1,1,2,2,2,2,2,"VXM938","Female","High School Graduation",5,6,3,4,3,"30",1,1,1,1,1,2,2,2,2,2,2,2,"VXM938","VXM938",1,1,1,1,2,2,2,2,2,2,2,2,0,0,1,0,0,0,-1,-1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1
1,1,1,1,1,2,2,2,2,2,2,2,"EHS868","Female","BSC",5,7,2,3,3,"60",1,1,1,1,1,2,2,2,2,2,2,2,"EHS868","EHS868",1,1,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2,2,2,2,"HSD560","Female","MA",4,9,3,3,4,"365",1,1,1,1,1,2,2,2,2,2,2,2,"HSD560","HSD560",1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
1,1,1,1,1,2,2,2,2,2,2,2,"BJ6954","Male","BSC",4,8,1,3,1,"10",1,1,1,1,1,1,1,1,1,1,1,1,"BJ6954","BJ6954",1,1,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,2,2,2,2,2,2,"W4L710","Male","MA",4,8,4,4,5,"500",1,1,1,1,1,2,2,2,2,2,2,2,"W4L710","W4L710",1,1,1,1,1,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,2,2,2,2,2,2,"UTB076","Male","MA",5,7,3,3,3,"30",1,1,1,1,1,2,2,2,2,2,2,2,"UTB076","UTB076",1,1,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,2,2,2,2,2,2,2,2,2,"IMT317","Female","BSC",5,7,3,4,4,"20",1,1,2,2,2,2,2,2,2,2,2,2,"IMT317","IMT317",1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,2,2,2,2,2,2,"B3I922","Male","Vocational School",2,8,2,4,4,"365",1,1,1,1,1,2,2,2,2,2,2,2,"B3I922","B3I922",1,1,1,1,1,1,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
1,1,1,2,2,2,2,2,2,2,2,2,"AXT192","Male","MA",5,7,4,2,4,"20",1,1,1,1,1,2,2,2,2,2,2,2,"AXT192","AXT192",1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,2,2,2,2,2,2,2,2,2,"ED6785","Female","MA",4,7,2,5,4,"két hónapot, azaz 60 napot",1,1,1,1,2,2,2,2,2,2,2,2,"ED6785","ED6785",1,1,1,2,2,2,2,2,2,2,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2,2,2,2,"Z3H571","Male","MA",4,8,4,4,5,"200",1,2,2,2,2,2,2,2,2,2,2,2,"Z3H571","Z3H571",1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,2,2,2,2,2,2,2,2,"VGN912","Female","High School Graduation",3,6,4,3,4,"30",1,1,1,1,2,2,2,2,2,2,2,2,"VGN912","VGN912",1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,"HDH821","Female","MA",4,8,3,3,3,"20",1,1,1,1,1,1,1,1,1,1,1,1,"HDH821","HDH821",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,2,2,2,2,2,2,"FXD746","Female","MA",3,7,4,3,4,"70",1,1,1,1,1,2,2,2,2,2,2,2,"FXD746","FXD746",1,1,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2,2,2,2,2,"A99717","Male","BSC",5,6,3,4,3,"35",1,1,1,1,1,1,1,1,1,1,2,2,"A99717","A99717",1,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,2,2,2,"WTD949","Female","MA",3,8,4,2,3,"14",1,1,1,1,1,1,1,1,1,1,1,1,"WTD694","WTD694",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,2,2,"IRC807","Female","MA",2,8,3,3,4,"18",1,1,1,1,1,1,1,1,1,2,2,2,"IRC807","IRC807",1,1,1,1,1,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1
1,1,1,1,1,1,1,1,2,2,2,2,"C6U510","Male","MA",2,7,3,4,4,"7",1,1,1,1,1,1,1,1,2,2,2,2,"C6U510","C6U510",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
1,1,1,2,2,2,2,2,2,2,2,2,"EUI533","Male","MA",3,8,1,4,5,"20",1,1,1,2,2,2,2,2,2,2,2,2,"EUI533","EUI533",1,1,1,1,1,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,2,2,"Z44713","Female","BSC",5,8,2,3,3,"60",1,1,1,1,1,1,1,1,1,1,1,1,"Z44713","Z44713",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,2,2,2,2,2,2,2,"OLI827","Male","MA",4,8,4,3,5,"30",1,1,1,1,1,1,1,1,1,2,2,2,"OLI827","OLI827",1,1,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,2,2,"VZS363","Male","MA",5,8,2,2,2,"35",1,1,1,1,1,1,1,1,1,1,2,2,"VZS363","VZS363",1,1,1,1,1,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
1,2,2,2,2,2,2,2,2,2,2,2,"TB7813","Female","High School Graduation",2,7,4,4,1,"90",1,1,1,1,1,1,1,1,1,1,1,2,"TB7813","TB7813",1,1,1,2,2,2,2,2,2,2,2,2,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
1,1,1,2,2,2,2,2,2,2,2,2,"XHI369","Female","MA",5,7,4,3,4,"90",1,1,1,1,2,2,2,2,2,2,2,2,"XHI369","XHI369",1,1,1,2,2,2,2,2,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,2,2,"QT4654","Male","MA",4,7,3,4,4,"42",1,1,1,1,1,1,1,1,1,2,2,2,"QT4654","QT4654",1,1,1,1,1,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,2,"M01984","Male","Vocational School",3,8,1,4,3,"50",1,1,1,1,1,1,1,1,1,1,1,1,"M01984","M01984",2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,2,2,2,2,2,2,2,"V69463","Male","High School Graduation",5,7,3,4,5,"20",1,1,1,1,1,1,1,1,1,1,1,1,"V69463","V69463",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,2,2,2,2,2,2,"BCU060","Male","MA",2,7,3,4,2,"31",1,1,1,1,1,2,2,2,2,2,2,2,"BCU060","BCU060",1,1,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,2,"GAY442","Male","BSC",5,4,4,2,2,"30",1,1,1,1,1,1,1,1,1,2,2,2,"GAY442","GAY442",1,1,1,1,1,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,"BNU726","Female","MA",5,7,2,3,4,"15",1,2,2,2,2,2,2,2,2,2,2,2,"BNU726","BNU726",2,2,2,2,2,2,2,2,2,2,2,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,2,2,2,2,2,2,2,2,"GC0903","Female","MA",4,7,2,2,4,"15",1,1,1,1,1,2,2,2,2,2,2,2,"GC0903","GC0903",1,1,1,1,1,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,2,2,"CQT258","Female","High School Graduation",2,8,4,4,1,"365",1,2,2,2,2,2,2,2,2,2,2,2,"CQT258","CQT258",1,2,2,2,2,2,2,2,2,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,2,2,"RVL798","Male","BSC",3,8,4,3,4,"45",1,1,1,1,1,1,1,2,2,2,2,2,"RVL798","RVL798",1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1
1,2,2,2,2,2,2,2,2,2,2,2,"N3O201","Female","Vocational School",2,7,1,3,4,"100",1,2,2,2,2,2,2,2,2,2,2,2,"N3O201","N3O201",1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2,2,2,2,"EX0052","Female","BSC",5,7,2,3,4,"40",2,2,2,2,2,2,2,2,2,2,2,2,"EX0052","EX0052",1,2,2,2,2,2,2,2,2,2,2,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,2,2,2,2,2,2,"FE9446","Female","MA",4,8,2,3,4,"30",1,1,1,1,1,2,2,2,2,2,2,2,"FE9446","FE9446",1,1,1,1,1,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,2,2,2,1,2,2,2,2,"WAJ924","Female","MA",4,7,3,3,3,"100",1,1,2,2,2,2,2,2,2,2,2,2,"WAJ924","WAJ924",1,1,1,2,2,1,2,2,1,2,2,2,1,0,0,-1,-1,0,0,0,-1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1
1,1,1,1,1,2,2,2,2,2,2,2,"RZN364","Male","BSC",5,6,3,4,5,"50",1,1,1,1,1,2,2,2,2,2,2,2,"RZN364","RZN364",1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2,2,2,2,"JWN172","Male","High School Graduation",3,7,3,2,2,"30",1,2,2,2,2,2,2,2,2,2,2,2,"JWN172","JWN722",1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,2,2,2,2,2,2,2,2,2,"4660,0","Male","MA",5,9,4,2,4,"365",2,2,2,2,2,2,2,2,2,2,2,2,"4660,0","4660,0",1,2,2,2,2,2,2,2,2,2,2,2,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,"MFR522","Female","BSC",2,7,2,3,3,"3",1,1,1,1,1,1,1,1,1,1,1,1,"MFR522","MFR522",1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
1,2,2,2,2,2,2,2,2,2,2,2,"WN8660","Male","High School Graduation",5,3,3,2,3,"25",1,1,1,1,1,2,2,2,2,2,2,2,"WN8660","WN8660",1,1,1,2,2,2,2,2,2,2,2,2,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1
1,1,1,1,1,1,2,2,2,2,2,2,"AW5632","Male","BSC",3,7,3,4,4,"30",1,1,1,1,1,1,1,2,2,2,2,2,"AW5632","AW5632",1,1,1,1,1,1,2,2,2,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,2,2,2,2,"MD5080","Female","MA",5,7,4,3,4,"20",1,1,1,1,1,1,1,1,1,2,2,2,"MD5080","MD5080",1,1,1,1,1,1,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,2,2,2,2,2,2,2,2,"MUW476","Female","MA",5,7,3,4,3,"56",2,2,2,2,2,2,2,2,2,2,2,2,"MUW476","MUW476",1,1,1,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
